question_id,section,domain,skill,difficulty_1_10,question_type,passage_or_prompt,question,choice_a,choice_b,choice_c,choice_d,estimated_time_sec,target_score_band,source_type
RW-001,Reading and Writing,Information and Ideas,Main idea / synthesis,6,Passage analysis,"City planners once assumed that adding lanes to congested highways would permanently reduce traffic. 
Recent studies, however, suggest that widening roads often encourages more people to drive, eventually restoring congestion to earlier levels.",What is the central claim of the passage?,Widening highways usually lowers congestion for many decades.,Traffic studies should focus on public transit rather than highways.,Adding highway lanes can produce only temporary congestion relief.,Most city planners now oppose any highway expansion.,90,1450+,original_sat_style
RW-002,Reading and Writing,Information and Ideas,Inference,7,Passage analysis,"In a trial, students who reviewed vocabulary in spaced intervals remembered more words after four weeks than students who reviewed the same number of words in a single long session. 
The researchers noted that the spaced-review group also reported feeling less mentally fatigued.",Which inference is best supported by the passage?,Spaced review may improve retention while reducing fatigue.,Students learn vocabulary best when they study alone.,Long study sessions are ineffective for all subjects.,The spaced-review group studied for more total time.,90,1450+,original_sat_style
RW-003,Reading and Writing,Information and Ideas,Evidence support,6,Passage analysis,A marine biologist argues that restoring oyster reefs can improve coastal water quality because oysters filter large volumes of water as they feed.,Which finding would most directly support the biologist's claim?,Tourists prefer beaches with fewer visible rocks.,Areas with restored oyster reefs showed lower concentrations of suspended particles.,Some oyster species can survive in both saltwater and brackish water.,Coastal towns often depend on fishing and tourism revenue.,90,1450+,original_sat_style
RW-004,Reading and Writing,Information and Ideas,Textual relationship,7,Passage analysis,"Historian A argues that a series of unsigned pamphlets influenced a labor movement because key slogans from the pamphlets later appeared in workers' speeches. 
Historian B counters that the slogans were already common in local newspapers before the pamphlets circulated.","If Historian B is correct, Historian B's point most directly",confirms that the pamphlets were widely read by workers.,suggests the pamphlets may not have originated the slogans.,proves the speeches were written by newspaper editors.,shows that workers preferred newspapers to pamphlets.,90,1450+,original_sat_style
RW-005,Reading and Writing,Information and Ideas,Data interpretation,7,Quantitative text,"A school compared average commute times before and after changing bus routes. Before the change, the average commute was 41 minutes. After the change, it was 34 minutes, while the percentage of students riding the bus remained nearly the same.",Which statement is best supported by the information?,The route change likely reduced average commute time for bus riders.,More students began walking to school after the route change.,The school should shorten the school day by seven minutes.,Students on every route experienced the same reduction in commute time.,90,1450+,original_sat_style
RW-006,Reading and Writing,Information and Ideas,Weaken the claim,8,Passage analysis,A startup claims that its new note-taking app increases worker productivity because employees who used the app completed more tasks during a one-week pilot program than employees who did not use it.,Which additional information would most weaken the startup's claim?,Employees could customize the app's visual theme.,The employees using the app were assigned fewer and shorter tasks during the pilot.,Some employees preferred taking notes by hand.,The company plans to release a mobile version of the app.,90,1450+,original_sat_style
RW-007,Reading and Writing,Information and Ideas,Main purpose,6,Passage analysis,"When a local library extended its evening hours, attendance at adult literacy workshops increased sharply. The library director now argues that scheduling, not lack of interest, had been the primary barrier to participation.",What is the main purpose of the passage?,To describe evidence supporting an explanation for low workshop participation,To criticize a library director's decision to extend evening hours,To compare literacy workshops offered by different libraries,To prove that adult literacy programs should be mandatory,90,1450+,original_sat_style
RW-008,Reading and Writing,Information and Ideas,Logical completion,7,Passage analysis,Researchers studying urban heat islands found that neighborhoods with denser tree cover had lower afternoon surface temperatures than nearby areas with similar building density but less shade.,Which choice most logically completes the text?,Trees may help reduce urban heat even when neighborhood density is similar.,Building density has no effect on surface temperature.,Tree cover is easier to increase than housing supply.,Afternoon temperature is the only measure relevant to urban planning.,90,1450+,original_sat_style
RW-009,Reading and Writing,Information and Ideas,Reconciling evidence,8,Passage analysis,"Study 1 found that households given real-time electricity-use displays reduced energy consumption by 6% over three months. 
Study 2 found no reduction after households received monthly printed summaries of electricity use.",Which statement best reconciles the findings?,Households dislike receiving any information about electricity use.,"Frequent, immediate feedback may influence behavior more than delayed summaries do.",Electricity consumption cannot be reduced through consumer choices.,The households in Study 1 probably paid lower utility rates.,90,1450+,original_sat_style
RW-010,Reading and Writing,Information and Ideas,Inference from contrast,7,Passage analysis,"Although the novelist is best known for her later political essays, her early notebooks show a sustained interest in color, texture, and rhythm—features that would later shape the vivid prose style of those essays.",Which inference is best supported by the passage?,The novelist abandoned all interest in aesthetics when she began writing political essays.,The novelist's later prose style was influenced by concerns present in her early work.,The early notebooks were more politically effective than the later essays.,Critics value the novelist's notebooks more than her essays.,90,1450+,original_sat_style
RW-011,Reading and Writing,Craft and Structure,Words in context,6,Vocabulary in context,"By publishing preliminary findings before the larger study was complete, the research team hoped to spark discussion rather than present a final, authoritative account.","As used in the text, ""authoritative"" most nearly means",punitive,conclusive,popular,lengthy,90,1450+,original_sat_style
RW-012,Reading and Writing,Craft and Structure,Function of sentence,7,Rhetorical purpose,"Many desert plants appear fragile, yet several survive months without rain. One reason is that they open their stomata at night rather than during the day, limiting water loss in intense heat.",What function does the second sentence serve in the text?,It offers an example explaining how desert plants survive.,It presents a counterargument to the first sentence.,It defines a term introduced much earlier in the passage.,It shifts the discussion from plants to weather patterns.,90,1450+,original_sat_style
RW-013,Reading and Writing,Craft and Structure,Text structure,7,Passage structure,Paragraph 1 describes an architect's original plan for a public square. Paragraph 2 explains why residents objected to that plan. Paragraph 3 describes how the architect revised the design after receiving community feedback.,Which choice best describes the overall structure of the text?,"A proposal is presented, challenged, and then modified.",A problem is solved before it is fully defined.,A theory is proposed and then disproved by experiment.,Two unrelated design concepts are compared.,90,1450+,original_sat_style
RW-014,Reading and Writing,Craft and Structure,Paired texts,8,Cross-text synthesis,"Text 1: Some economists argue that four-day workweeks can increase productivity by reducing burnout. 
Text 2: A manufacturing consultant notes that four-day schedules are harder to implement in factories that rely on continuous machine operation.",Which statement best describes a relationship between the texts?,"Text 1 argues that four-day workweeks always lower output, while Text 2 argues the opposite.","Text 1 presents a potential benefit of four-day workweeks, while Text 2 identifies a practical limitation.",Both texts claim that four-day workweeks are easy to adopt in manufacturing.,Both texts reject changes to traditional work schedules.,90,1450+,original_sat_style
RW-015,Reading and Writing,Craft and Structure,Words in context,7,Vocabulary in context,"The editor did not reject the proposal outright; instead, she tempered her criticism by noting several strengths before suggesting major revisions.","As used in the text, ""tempered"" most nearly means",softened,heated,sharpened,concealed,90,1450+,original_sat_style
RW-016,Reading and Writing,Craft and Structure,Author's purpose,7,Rhetorical purpose,"""The river is not merely a border on the map,"" the mayor said. ""It is the reason this town exists.""",The quotation primarily serves to,supply technical evidence about river pollution levels,emphasize the river's symbolic and historical importance to the town,argue that the mayor opposes all new construction near the river,show that the mayor disagrees with the town's residents,90,1450+,original_sat_style
RW-017,Reading and Writing,Craft and Structure,Tone / implication,6,Passage analysis,"The critic praised the film's ambition but noted that its final act was ""so determined to explain itself that it left little room for mystery.""",Which choice best captures the critic's view of the film's ending?,It is exciting because it introduces several unanswered questions.,It is confusing because it withholds too much information.,It is overly explicit and therefore less intriguing.,It is unrealistic and therefore unintentionally funny.,90,1450+,original_sat_style
RW-018,Reading and Writing,Craft and Structure,Transition of idea,7,Paragraph development,"Scientists once believed that all dinosaurs were scaly reptiles. New fossil evidence, ______, suggests that many species had feather-like structures.",Which choice most logically completes the text?,for instance,however,meanwhile,therefore,90,1450+,original_sat_style
RW-019,Reading and Writing,Craft and Structure,Paired texts disagreement,8,Cross-text synthesis,"Text 1: A botanist argues that introducing native wildflowers to urban medians can support pollinators with minimal maintenance. 
Text 2: A transportation official argues that tall plantings in medians can reduce driver visibility and should therefore be limited.",On which point would the authors most likely disagree?,Whether pollinators benefit from access to flowering plants,Whether urban medians can serve ecological functions,Whether plantings in medians should be expanded broadly,Whether transportation officials influence roadside design,90,1450+,original_sat_style
RW-020,Reading and Writing,Craft and Structure,Interpretive nuance,7,Vocabulary in context,"Because the archive contains only fragments of the original manuscript, scholars must be cautious about drawing sweeping conclusions from it.","As used in the text, ""sweeping"" most nearly means",broad,careless,elegant,temporary,90,1450+,original_sat_style
RW-021,Reading and Writing,Expression of Ideas,Transitions,6,Revision,"The lab's new sensor is inexpensive to manufacture. ______, it can detect leaks earlier than the previous model.",Which choice completes the text with the most logical transition?,"Similarly,","In contrast,","Moreover,","Instead,",90,1450+,original_sat_style
RW-022,Reading and Writing,Expression of Ideas,Sentence placement,7,Revision,"(1) The museum recently digitized thousands of photographs from its collection. 
(2) The project allows researchers to search the archive remotely. 
(3) Many of the photographs had previously been available only to visitors who could examine them in person. 
(4) As a result, scholars from other countries can now study the collection more easily.",Where should sentence 3 be placed to best improve the paragraph?,Before sentence 1,After sentence 1,After sentence 2,After sentence 4,90,1450+,original_sat_style
RW-023,Reading and Writing,Expression of Ideas,Combining sentences,7,Revision,The composer revised the score several times. The final version was shorter and more rhythmically complex.,Which choice most effectively combines the sentences?,"The composer revised the score several times, and the final version was shorter and more rhythmically complex.","The composer revised the score several times, shorter and more rhythmically complex.","The final version was shorter and more rhythmically complex, and the composer revised the score several times because of it.","Several times the composer revised the score, and shorter and more rhythmically complex was the final version.",90,1450+,original_sat_style
RW-024,Reading and Writing,Expression of Ideas,Using notes,7,Synthesis from notes,"Notes:
• The solar car race began in 1987.
• Teams design vehicles powered primarily by sunlight.
• The race has helped engineers test lightweight materials and battery systems.
• Some technologies from race vehicles later influenced commercial design.",The student wants to emphasize the race's value as a testing ground for innovation. Which choice best uses information from the notes to accomplish this goal?,"The solar car race, which began in 1987, features teams that design vehicles powered primarily by sunlight.","Since 1987, the solar car race has served as a proving ground where engineers test lightweight materials and battery systems that can later influence commercial vehicle design.","Commercial vehicle design has changed over time, and some races also use sunlight as a power source.","Teams in the solar car race design unusual vehicles, and many races have been held since 1987.",90,1450+,original_sat_style
RW-025,Reading and Writing,Expression of Ideas,Topic sentence,6,Revision,"A paragraph explains that a city's new rain gardens absorb stormwater, reduce street flooding, and filter runoff before it enters nearby streams.",Which choice is the most effective topic sentence for the paragraph?,Rain gardens are an increasingly common feature in many cities.,The city installed rain gardens because residents enjoy new landscaping.,The city's new rain gardens provide several environmental benefits.,Streams near cities can become polluted after storms.,90,1450+,original_sat_style
RW-026,Reading and Writing,Expression of Ideas,Logical order,7,Revision,"A student wrote the following sentences:
(1) Engineers first tested the bridge design using a scale model.
(2) They then revised the design to reduce wind resistance.
(3) After the full bridge was built, sensors were installed to monitor movement.
(4) The bridge ultimately opened to traffic in 2024.",Which sequence best reflects a logical order for the sentences?,"1, 2, 3, 4","1, 3, 2, 4","2, 1, 3, 4","3, 1, 2, 4",90,1450+,original_sat_style
RW-027,Reading and Writing,Expression of Ideas,Concluding sentence,7,Revision,"A paragraph describes how a community theater expanded free student matinees, added transportation grants for schools, and partnered with teachers to create lesson materials tied to performances.",Which choice best concludes the paragraph?,The theater was founded by volunteers in 1978.,These efforts have made it easier for more students to experience live performance as part of their education.,Many performances require elaborate costumes and set construction.,Some schools also organize field trips to museums and historic sites.,90,1450+,original_sat_style
RW-028,Reading and Writing,Expression of Ideas,Integrating quantitative information,8,Data integration,"A chart shows that a plant species reached average heights of 12 cm in low light, 19 cm in medium light, and 18 cm in high light.",Which sentence most accurately describes the data?,"The plants grew tallest in medium light, slightly taller than in high light.",Plant height increased steadily as light intensity increased.,High light produced the shortest plants.,Low light and high light produced identical average heights.,90,1450+,original_sat_style
RW-029,Reading and Writing,Expression of Ideas,Precision and concision,6,Revision,The company announced plans to relocate its headquarters to a new downtown building located in the downtown area.,Which revision is most effective?,The company announced plans to relocate its headquarters to a new downtown building.,The company announced plans to relocate its headquarters to a downtown building in a downtown area.,"The company, announcing plans, relocated its headquarters to a new building that was downtown.",Plans were announced by the company to relocate its headquarters to a building located downtown in the downtown area.,90,1450+,original_sat_style
RW-030,Reading and Writing,Expression of Ideas,Relevant support,7,Revision,"Claim: Community gardens can strengthen neighborhoods.
Which sentence would best support the claim?",Choose the best supporting sentence.,Many vegetables require careful watering and fertile soil.,"In one neighborhood, residents who worked in a shared garden later organized additional cleanup projects and block events.",Some gardeners prefer growing flowers rather than vegetables.,"Cities have created parks, bike lanes, and public art projects.",90,1450+,original_sat_style
RW-031,Reading and Writing,Standard English Conventions,Punctuation,6,Grammar,"The robotics team won the regional competition, however, it still needed to raise money for the national event.",Which choice best corrects the sentence?,"The robotics team won the regional competition, however it still needed to raise money for the national event.","The robotics team won the regional competition; however, it still needed to raise money for the national event.",The robotics team won the regional competition however; it still needed to raise money for the national event.,"The robotics team won the regional competition, and however, it still needed to raise money for the national event.",90,1450+,original_sat_style
RW-032,Reading and Writing,Standard English Conventions,Subject-verb agreement,6,Grammar,"A list of emergency supplies, including flashlights and batteries, ______ stored in the cabinet near the door.",Which choice completes the text so that it conforms to Standard English conventions?,are,were,is,have been,90,1450+,original_sat_style
RW-033,Reading and Writing,Standard English Conventions,Pronoun clarity,7,Grammar,"When Maya met Elena after the debate, she said the moderator's final question had been the most difficult.",Which revision best clarifies the sentence?,"When Maya met Elena after the debate, the moderator's final question had been the most difficult.","After the debate, Maya told Elena that the moderator's final question had been the most difficult.","When Maya met Elena after the debate, she had said the moderator's final question had been the most difficult.",The moderator's final question had been the most difficult when Maya met Elena after the debate.,90,1450+,original_sat_style
RW-034,Reading and Writing,Standard English Conventions,Modifier placement,7,Grammar,"Running down the trail, the rain began to fall more heavily around the hikers.",Which choice best corrects the sentence?,"Running down the trail, the rain began to fall more heavily around the hikers.","As the hikers ran down the trail, the rain began to fall more heavily around them.","The rain, running down the trail, began to fall more heavily around the hikers.","Around the hikers, running down the trail, the rain began to fall more heavily.",90,1450+,original_sat_style
RW-035,Reading and Writing,Standard English Conventions,Verb tense,6,Grammar,"Last year, the orchestra performs three new compositions and commissions a fourth from a local composer.",Which choice best completes the sentence so that it conforms to Standard English conventions?,performs; commissions,performed; commissioned,has performed; commissioned,was performing; commission,90,1450+,original_sat_style
RW-036,Reading and Writing,Standard English Conventions,Possessives,6,Grammar,The two ______ offices were located on opposite sides of the hall.,Which choice completes the text so that it conforms to Standard English conventions?,editors,editors',editor's,editors's,90,1450+,original_sat_style
RW-037,Reading and Writing,Standard English Conventions,Colon usage,7,Grammar,"The chef relied on three ingredients for the sauce ______ tomatoes, basil, and roasted garlic.",Which choice completes the text so that it conforms to Standard English conventions?,;,:,",",— and,90,1450+,original_sat_style
RW-038,Reading and Writing,Standard English Conventions,Sentence boundaries,7,Grammar,The manuscript was incomplete. Several pages were missing from the final chapter.,Which choice most effectively combines the sentences?,"The manuscript was incomplete, several pages were missing from the final chapter.","The manuscript was incomplete, with several pages missing from the final chapter.",The manuscript was incomplete; and several pages were missing from the final chapter.,"The manuscript was incomplete because several pages were missing, from the final chapter.",90,1450+,original_sat_style
RW-039,Reading and Writing,Standard English Conventions,Parallel structure,7,Grammar,"The internship helped Ana develop new coding skills, to improve her presentation style, and confidence in meetings.",Which choice best completes the sentence so that it conforms to Standard English conventions?,"to improve her presentation style, and confidence in meetings","improving her presentation style, and feeling confident in meetings","improve her presentation style, and gain confidence in meetings","improved her presentation style, and to gain confidence in meetings",90,1450+,original_sat_style
RW-040,Reading and Writing,Standard English Conventions,Nonessential punctuation,8,Grammar,"The novel, published in 1928 and rediscovered decades later has recently been adapted for television.",Which choice best corrects the sentence?,"The novel, published in 1928 and rediscovered decades later, has recently been adapted for television.","The novel published in 1928, and rediscovered decades later has recently been adapted for television.","The novel published in 1928 and rediscovered decades later, has recently been adapted for television.","The novel, published in 1928, and rediscovered decades later has recently been adapted for television.",90,1450+,original_sat_style
M-041,Math,Algebra,Solve linear equation,5,Multiple choice,,Solve for x: 3(2x - 5) = 4x + 7,x = 11,x = 8,x = 5,x = 3.5,75,1450+,original_sat_style
M-042,Math,Algebra,Systems of equations,6,Word problem,,A school sold 84 tickets to a play. Student tickets cost $6 and adult tickets cost $10. The total revenue was $664. How many adult tickets were sold?,24,30,40,44,90,1450+,original_sat_style
M-043,Math,Algebra,Linear function from table,6,Table,"x: 1, 3, 5
f(x): 7, 13, 19",Which equation defines f(x)?,f(x) = 3x + 4,f(x) = 2x + 5,f(x) = 6x + 1,f(x) = x + 6,75,1450+,original_sat_style
M-044,Math,Algebra,Solve inequality,6,Multiple choice,,Which solution set satisfies 5 - 2x > 11?,x > -3,x < -3,x > 3,x < 3,60,1450+,original_sat_style
M-045,Math,Algebra,Rearranging formulas,6,Multiple choice,,"For the formula P = 2L + 2W, which expression gives W in terms of P and L?",W = P - 2L,W = (P - 2L)/2,W = P/2 - L/2,W = 2P - L,75,1450+,original_sat_style
M-046,Math,Algebra,Linear relationship,7,Multiple choice,,"A line passes through the points (2, -1) and (6, 11). What is the slope of the line?",2,3,4,6,45,1450+,original_sat_style
M-047,Math,Algebra,Equation of a line,7,Multiple choice,,"What is the equation of the line that passes through (4, 3) and has slope -2?",y = -2x + 11,y = -2x - 5,y = 2x - 5,y = -x + 7,75,1450+,original_sat_style
M-048,Math,Algebra,Systems classification,7,Multiple choice,,Consider the system y = 3x + 2 and 6x - 2y = -4. How many solutions does the system have?,0,1,2,Infinitely many,60,1450+,original_sat_style
M-049,Math,Algebra,Function notation,5,Multiple choice,,"If f(x) = 4x - 7, what is f(5)?",13,20,27,-27,45,1450+,original_sat_style
M-050,Math,Algebra,Word problem,7,Multiple choice,,"A gym charges a one-time registration fee of $25 plus $18 per month. Which equation gives the total cost C, in dollars, after m months?",C = 25m + 18,C = 18m + 25,C = 43m,C = 18 + 25m,45,1450+,original_sat_style
M-051,Math,Advanced Math,Quadratic factorization,6,Multiple choice,,What are the solutions to x^2 - 5x + 6 = 0?,x = -2 and x = -3,x = 2 and x = 3,x = 1 and x = 6,x = -1 and x = -6,60,1450+,original_sat_style
M-052,Math,Advanced Math,Vertex form,7,Multiple choice,,Which expression is equivalent to x^2 - 6x + 13?,(x - 3)^2 + 4,(x - 3)^2 - 4,(x + 3)^2 + 4,(x + 3)^2 - 4,75,1450+,original_sat_style
M-053,Math,Advanced Math,Exponential growth,7,Multiple choice,,"A bacteria culture doubles every 3 hours. If it starts with 120 bacteria, how many bacteria will there be after 9 hours?",360,480,960,"1,920",60,1450+,original_sat_style
M-054,Math,Advanced Math,Polynomial operations,7,Multiple choice,,What is (2x - 3)(x + 5)?,2x^2 + 7x - 15,2x^2 + 10x - 3,2x^2 - 7x - 15,2x^2 + 13x + 15,60,1450+,original_sat_style
M-055,Math,Advanced Math,Rational equations,8,Multiple choice,,Solve for x: 3/x = 12/(x + 6),x = 2,x = 3,x = 6,x = 8,75,1450+,original_sat_style
M-056,Math,Advanced Math,Radical equations,8,Multiple choice,,Solve for x: √(x + 9) = x - 3,5,6,7,9,90,1450+,original_sat_style
M-057,Math,Advanced Math,Quadratic modeling,8,Word problem,,A rectangular garden has area 48 square feet. Its length is 2 feet greater than its width. What is the width of the garden?,4,6,8,10,90,1450+,original_sat_style
M-058,Math,Advanced Math,Function composition,8,Multiple choice,,"If f(x) = 2x + 1 and g(x) = x^2, what is f(g(3))?",7,10,19,37,60,1450+,original_sat_style
M-059,Math,Advanced Math,Equivalent expressions,7,Multiple choice,,Which expression is equivalent to (x^2 - 9)/(x - 3) for x ≠ 3?,x - 6,x + 3,x^2 - 3,x + 6,60,1450+,original_sat_style
M-060,Math,Advanced Math,Exponential equation,8,Multiple choice,,"If 2^(x+1) = 32, what is the value of x?",3,4,5,6,45,1450+,original_sat_style
M-061,Math,Problem-Solving and Data Analysis,Mean,5,Multiple choice,,"The average of five numbers is 18. If four of the numbers are 12, 17, 19, and 21, what is the fifth number?",15,18,21,31,60,1450+,original_sat_style
M-062,Math,Problem-Solving and Data Analysis,Probability,6,Multiple choice,,"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. If one marble is chosen at random, what is the probability that it is blue?",3/10,1/3,3/8,2/5,45,1450+,original_sat_style
M-063,Math,Problem-Solving and Data Analysis,Ratios,6,Multiple choice,,"In a recipe, the ratio of cups of flour to cups of sugar is 5:2. If the recipe uses 15 cups of flour, how many cups of sugar does it use?",5,6,7.5,10,45,1450+,original_sat_style
M-064,Math,Problem-Solving and Data Analysis,Percent increase,6,Multiple choice,,A jacket's price increased from $80 to $92. What was the percent increase?,12%,15%,18%,20%,60,1450+,original_sat_style
M-065,Math,Problem-Solving and Data Analysis,Scatterplot interpretation,8,Multiple choice,,"A scatterplot of hours studied and test score shows a clear upward trend, but the points are widely spread around the line of best fit. Which statement is best supported by this description?",Students who study more always earn the same score increase.,"There is a positive association between study time and score, but the relationship is not perfectly precise.",There is no relationship between study time and score.,The graph proves that studying is the only cause of higher scores.,60,1450+,original_sat_style
M-066,Math,Problem-Solving and Data Analysis,Conditional probability,8,Multiple choice,,"In a class, 18 students play a sport, 12 students play an instrument, and 7 students do both. If one student is selected at random from the 18 students who play a sport, what is the probability that the student also plays an instrument?",7/30,7/18,7/12,11/18,75,1450+,original_sat_style
M-067,Math,Problem-Solving and Data Analysis,Weighted average,8,Multiple choice,,A student scored 82 on a quiz worth 20% of the course grade and 94 on a project worth 30% of the course grade. What average on the remaining 50% is needed to earn an overall course average of 90?,88.0,89.6,90.8,92.0,90,1450+,original_sat_style
M-068,Math,Problem-Solving and Data Analysis,Percent of percent,7,Multiple choice,,A charity received a donation that was 25% larger than last year's donation of $640. What was the new donation amount?,$720,$760,$800,$840,45,1450+,original_sat_style
M-069,Math,Problem-Solving and Data Analysis,Sampling methods,8,Multiple choice,,A student wants to estimate the average number of hours students at a school spend on homework each night. Which method is most likely to produce a biased sample?,Surveying every tenth student entering the school library before classes,Surveying students in one advanced placement study hall only,Randomly selecting student ID numbers from the full school roster,Surveying students from each grade level in proportion to enrollment,60,1450+,original_sat_style
M-070,Math,Problem-Solving and Data Analysis,Median / outliers,7,Multiple choice,,"The median of the set {4, 6, 8, 10, 12} is 8. If 100 is added to the set, what is the new median?",8,9,10,12,60,1450+,original_sat_style
M-071,Math,Geometry and Trigonometry,Similar triangles,7,Multiple choice,,"Two similar triangles have corresponding side lengths in the ratio 3:5. If the shorter triangle has a side of length 12, what is the corresponding side length of the larger triangle?",15,18,20,24,45,1450+,original_sat_style
M-072,Math,Geometry and Trigonometry,Circle circumference,6,Multiple choice,,A circle has radius 7. What is its circumference?,14π,28π,49π,98π,45,1450+,original_sat_style
M-073,Math,Geometry and Trigonometry,Right-triangle trigonometry,8,Multiple choice,,"In a right triangle, one acute angle θ has opposite side length 9 and hypotenuse 15. What is sin θ?",3/5,5/3,9/24,15/9,45,1450+,original_sat_style
M-074,Math,Geometry and Trigonometry,Area,6,Multiple choice,,What is the area of a rectangle with length 13 and width 8?,21,42,104,168,30,1450+,original_sat_style
M-075,Math,Geometry and Trigonometry,Distance formula,8,Multiple choice,,"What is the distance between the points (-1, 2) and (5, 10)?",10,8,√10,√100,75,1450+,original_sat_style
M-076,Math,Geometry and Trigonometry,Arc measure,7,Multiple choice,,"In a circle, a central angle measures 72°. What fraction of the circle's circumference is intercepted by the angle's arc?",1/10,1/5,2/5,4/5,45,1450+,original_sat_style
M-077,Math,Geometry and Trigonometry,Volume,7,Multiple choice,,A cylinder has radius 3 and height 10. What is its volume?,30π,60π,90π,300π,45,1450+,original_sat_style
M-078,Math,Geometry and Trigonometry,Perpendicular lines,8,Multiple choice,,A line has slope 4/3. What is the slope of a line perpendicular to it?,-4/3,3/4,-3/4,4/3,45,1450+,original_sat_style
M-079,Math,Geometry and Trigonometry,Angle relationships,7,Multiple choice,,Two supplementary angles are in the ratio 2:7. What is the measure of the smaller angle?,20°,30°,40°,50°,60,1450+,original_sat_style
M-080,Math,Geometry and Trigonometry,Triangle angle sum,6,Multiple choice,,"In triangle ABC, angle A = 48° and angle B = 67°. What is the measure of angle C?",65°,75°,95°,115°,30,1450+,original_sat_style
